10,अदस् (स्त्री),वह,स्त्रीलिंग,सर्वनाम,-,असौ,अमू,अमूः,अमूम्,अमू,अमूः,अमुया,अमूभ्याम्,अमूभिः,अमुष्यै,अमूभ्याम्,अमूभ्यः,अमुष्याः,अमूभ्याम्,अमूभ्यः,अमुष्याः,अमुयोः,अमूषाम्,अमुष्याम्,अमुयोः,अमूषु
18,प्रथम (स्त्री),प्रथम,स्त्रीलिंग,संख्येय,रमावत्,प्रथमा,प्रथमे,प्रथमाः,प्रथमाम्,प्रथमे,प्रथमाः,प्रथमया,प्रथमाभ्याम्,प्रथमाभिः,प्रथमायै,प्रथमाभ्याम्,प्रथमाभ्यः,प्रथमायाः,प्रथमाभ्याम्,प्रथमाभ्यः,प्रथमायाः,प्रथमयोः,प्रथमानाम्,प्रथमायाम्,प्रथमयोः,प्रथमासु
19,सखि,मित्र,पुंलिंग,अजन्त,स्त्रीलिंग में सखी के रूप नदीवत् चलेंगे ।,सखा,सखायौ,सखायः,सखायम्,सखायौ,सखीन्,सख्या,सखिभ्याम्,सखिभिः,सख्ये,सखिभ्याम्,सखिभ्यः,सख्युः,सखिभ्याम्,सखिभ्यः,सख्युः,सखयोः,सखीनाम्,सखयौ,सखयोः,सखिषु
20,पति,पति,पुंलिंग,अजन्त,,पतिः,पती,पतयः,पतिम्,पती,पतीन्,पत्या,पतिभ्याम्,पतिभिः,पत्ये,पतिभ्याम्,पतिभ्यः,पत्युः,पतिभ्याम्,पतिभ्यः,पत्युः,पत्योः,पतीनाम्,पत्यौ,पत्योः,पतिषु
21,सुधी,विद्वान्,पुंलिंग,अजन्त,,सुधीः,सुधियौ,सुधियः,सुधियम्,सुधियौ,सुधियः,सुधिया,सुधीभ्याम्,सुधीभिः,सुधिये,सुधीभ्याम्,सुधीभ्यः,सुधियः,सुधीभ्याम्,सुधीभ्यः,सुधियः,सुधियोः,सुधियाम्,सुधियि,सुधियोः,सुधीषु
21,स्वभू,ब्रह्मा,पुंलिंग,अजन्त,,स्वभूः,स्वभुवौ,स्वभुवः,स्वभुवम्,स्वभुवौ,स्वभुवः,स्वभुवा,स्वभूभ्याम्,स्वभूभिः,स्वभुवे,स्वभूभ्याम्,स्वभूभ्यः,स्वभुवः,स्वभूभ्याम्,स्वभूभ्यः,स्वभुवः,स्वभुवोः,स्वभुवाम्,स्वभुवि,स्वभुवोः,स्वभूषु
22,कर्तृ,करनेवाला,पुंलिंग,अजन्त,,कर्ता,कर्तारौ,कर्तारः,कर्तारम्,कर्तारौ,कर्तृन्,कर्त्रा,कर्तृभ्याम्,कर्तृभिः,कर्त्रे,कर्तृभ्याम्,कर्तृभ्यः,कर्तुः,कर्तृभ्याम्,कर्तृभ्यः,कर्तुः,कर्त्रोः,कर्तृणाम्,कर्तरि,कर्त्रोः,कर्तृषु
23,पितृ,पिता,पुंलिंग,अजन्त,,पिता,पितरौ,पितरः,पितरम्,पितरौ,पितृन्,पित्रा,पितृभ्याम्,पितृभिः,पित्रे,पितृभ्याम्,पितृभ्यः,पितुः,पितृभ्याम्,पितृभ्यः,पितुः,पित्रोः,पितृणाम्,पितरि,पित्रोः,पितृषु
23,नृ,मनुष्य,पुंलिंग,अजन्त,,ना,नरौ,नरः,नरम्,नरौ,नृन्,न्रा,नृभ्याम्,नृभिः,न्रे,नृभ्याम्,नृभ्यः,नुः,नृभ्याम्,नृभ्यः,नुः,न्रोः,नृणाम्/नृणाम्,नरि,न्रोः,नृषु
24,गो,बैल या गाय,"पुंलिंग, स्त्रीलिंग",अजन्त,,गौः,गावौ,गावः,गाम्,गावौ,गाः,गवा,गोभ्याम्,गोभिः,गवे,गोभ्याम्,गोभ्यः,गोः,गोभ्याम्,गोभ्यः,गोः,गवोः,गवाम्,गवि,गवोः,गोषु
